Dienstag, 24. März 2015 10:16:05;Initial Commit with some basic stuff running already.
Donnerstag, 21. Mai 2015 21:38:31;started with procedural meshes.
Freitag, 22. Mai 2015 14:42:17;started work on procedural mesh generation
Freitag, 22. Mai 2015 15:53:38;mesh creation now works without extra logic for last triangle. YAH!
Freitag, 22. Mai 2015 18:41:39;procedural generation work.
Freitag, 22. Mai 2015 22:03:16;added a MeshData class which stores partial Meshes which can be then combined in the end
Freitag, 22. Mai 2015 22:22:03;can now combine multiple meshData to form 1 mesh.
Samstag, 23. Mai 2015 18:38:50;started work on extrude version with split vertices
Samstag, 23. Mai 2015 19:39:42;mesh extrusion now works with shared or unique vertices. added a reverseDirection option for face building. need to add for extrusion still.
Samstag, 23. Mai 2015 20:17:36;noticed we need to check orientation of the Triangles t.t. if leftwinded we need to construct the triangle the other way around.
Sonntag, 24. Mai 2015 15:33:11;noticed point extrusion (thickness working wrong when direction of polygonzug changes. needs fix, check Skizze3
Sonntag, 24. Mai 2015 17:50:09;extruding with thickness now works , fixed winding order issues ! :-)
Sonntag, 24. Mai 2015 19:21:36;minor renaming stuff.
Montag, 25. Mai 2015 22:29:32;added triangulation API calling triangle program.
Dienstag, 26. Mai 2015 15:22:53;refactored some stuff and started working on subdividing in between source and target polychains.
Dienstag, 26. Mai 2015 17:01:56;more work on subdivisions.
Donnerstag, 28. Mai 2015 16:08:23;added Unique to shared and shared to unique methods.
Donnerstag, 28. Mai 2015 21:53:26;started working on hexgeneration.
Montag, 1. Juni 2015 15:24:26;creating HexagonalArea with heightmap (perlin noise for now) works, including UVs. its a bit messy and needs cleanup
Dienstag, 2. Juni 2015 09:02:00;fixed bug with point extrusion not normalizing the normal so it only worked in special cases, now works properly.
Dienstag, 2. Juni 2015 13:52:35;some small fixes and experiments
Mittwoch, 3. Juni 2015 11:13:53;added catmull rom splines
Donnerstag, 18. Juni 2015 17:45:13;tile capturing now works! some duplicate code which needs cleanup (replacing low-perf version completely with high-perf version.
